park_id,name_en,latitude,longitude,district_en,height,remark_en
tdc32p3,Shek Kip Mei Estate,22.33252907,114.1658783,Sham Shui Po,0.0,"Height Limit: 1.8
"
tdc8p15,MTR Kam Sheung Road Station Car Park,22.434496832,114.064946615,Yuen Long,0.0,"Height Limit: 
"
tdc36p1,Cyberport Carpark 1 & 2,22.26207542,114.1301727,Southern,0.0,"Height Limit: 2.3
"
tdc36p2,Cyberport Carpark 3,22.25959587,114.131691,Southern,0.0,"Height Limit: 2
"
tdc30p1,Nina Tower,22.368516229,114.11347198,Tsuen Wan,0.0,"Height Limit: 2.4 (Applicable to Private Cars/Vans)
4.1(Applicable to Container Vehicles)
Open 24 hours"
tdc31p1,Wong Tai Sin Public Transport Terminus Bus Car Par,22.34329894,114.19512206,Wong Tai Sin,0.0,"Height Limit: 5
"
tdc43p2,Castle Peak Beach,22.38051224,113.97942352,Tuen Mun,0.0,"Height Limit: 2.45
"
tdc14p3202,Ka Tin Car Park,22.36025238,114.1733704,Sha Tin,0.0,"Height Limit: 2.15M
"
tdc14p3514,Tin King Car Park,22.40660477,113.9650879,Sha Tin,0.0,"Height Limit: 1.9M
"
tdc14p5718,Ning Fung Car Park,22.37213898,114.1383057,Kwai Tsing,0.0,"Height Limit: 2.4M
"
tdc14p5406,Wah Lai Car Park,22.34250832,114.1377182,Kwai Tsing,0.0,"Height Limit: 2.4M
"
tdc14p5536,Wong Tai Sin SC Lower II Car Park,22.33973312,114.1919022,Wong Tai Sin,0.0,"Height Limit: 2M
"
tdc14p7645,Fung Lai Car Park,22.34441566,114.202179,Wong Tai Sin,0.0,"Height Limit: 2.4M
"
tdc14p6643,Upper Ngau Tau Kok Ph1 Car Park,22.31891823,114.2173309,Kwun Tong,0.0,"Height Limit: 2M
"
tdc14p7628,Tsz Man Car Park,22.34815979,114.2028351,Wong Tai Sin,0.0,"Height Limit: 2M
"
tdc14p7646,King Lai Car Park,22.34140205,114.2106857,Wong Tai Sin,0.0,"Height Limit: 1.9M
"
tdc14p6609,Ching Wang Court Car Park,22.36187553,114.1047516,Kwai Tsing,0.0,"Height Limit: 2.4M
"
tdc14p4336,Hong Keung Car Park,22.33724403,114.1900101,Wong Tai Sin,0.0,"Height Limit: 2.4M
"
