STAT_VAR,STAT_PRES,CCYY,DC,Sex,Age,OBS_VALUE,SD_VALUE
PP,Raw_per_n,2020,N,F,15 - 24,14100,
PP,Raw_per_n,2020,N,F,25 - 34,22000,
PP,Raw_per_n,2020,N,F,35 - 44,31600,
PP,Raw_per_n,2020,N,F,45 - 54,27300,
PP,Raw_per_n,2020,N,F,55 - 64,25400,
PP,Raw_per_n,2020,N,F,>= 65,27200,
PP,Raw_per_n,2020,P,M,0 - 14,17700,
PP,Raw_per_n,2020,P,M,15 - 24,13500,
PP,Raw_per_n,2020,P,M,25 - 34,19600,
PP,Raw_per_n,2020,P,M,35 - 44,18700,
PP,Raw_per_n,2020,P,M,45 - 54,20900,
PP,Raw_per_n,2020,P,M,55 - 64,24700,
PP,Raw_per_n,2020,P,M,>= 65,25100,
PP,Raw_per_n,2020,P,F,0 - 14,17500,
PP,Raw_per_n,2020,P,F,15 - 24,13300,
PP,Raw_per_n,2020,P,F,25 - 34,23200,
PP,Raw_per_n,2020,P,F,35 - 44,29600,
PP,Raw_per_n,2020,P,F,45 - 54,28600,
PP,Raw_per_n,2020,P,F,55 - 64,27800,
PP,Raw_per_n,2020,P,F,>= 65,27600,
PP,Raw_per_n,2020,R,M,0 - 14,41100,
PP,Raw_per_n,2020,R,M,15 - 24,31500,
PP,Raw_per_n,2020,R,M,25 - 34,40100,
PP,Raw_per_n,2020,R,M,35 - 44,39800,
PP,Raw_per_n,2020,R,M,45 - 54,47900,
PP,Raw_per_n,2020,R,M,55 - 64,54100,
PP,Raw_per_n,2020,R,M,>= 65,56800,
PP,Raw_per_n,2020,R,F,0 - 14,38600,
PP,Raw_per_n,2020,R,F,15 - 24,30800,
PP,Raw_per_n,2020,R,F,25 - 34,49600,
PP,Raw_per_n,2020,R,F,35 - 44,63100,
PP,Raw_per_n,2020,R,F,45 - 54,66400,
PP,Raw_per_n,2020,R,F,55 - 64,58500,
PP,Raw_per_n,2020,R,F,>= 65,66600,
PP,Raw_per_n,2020,Q,M,0 - 14,27500,
PP,Raw_per_n,2020,Q,M,15 - 24,20900,
PP,Raw_per_n,2020,Q,M,25 - 34,30000,
PP,Raw_per_n,2020,Q,M,35 - 44,30700,
PP,Raw_per_n,2020,Q,M,45 - 54,30500,
PP,Raw_per_n,2020,Q,M,55 - 64,36400,
PP,Raw_per_n,2020,Q,M,>= 65,37700,
PP,Raw_per_n,2020,Q,F,0 - 14,26300,
PP,Raw_per_n,2020,Q,F,15 - 24,19900,
PP,Raw_per_n,2020,Q,F,25 - 34,39700,
PP,Raw_per_n,2020,Q,F,35 - 44,47000,
PP,Raw_per_n,2020,Q,F,45 - 54,41500,
PP,Raw_per_n,2020,Q,F,55 - 64,41000,
PP,Raw_per_n,2020,Q,F,>= 65,43600,
PP,Raw_per_n,2020,T,M,0 - 14,12700,
PP,Raw_per_n,2020,T,M,15 - 24,8300,
PP,Raw_per_n,2020,T,M,25 - 34,11900,
PP,Raw_per_n,2020,T,M,35 - 44,12800,
PP,Raw_per_n,2020,T,M,45 - 54,10600,
PP,Raw_per_n,2020,T,M,55 - 64,13500,
PP,Raw_per_n,2020,T,M,>= 65,15000,
PP,Raw_per_n,2020,T,F,0 - 14,11700,
PP,Raw_per_n,2020,T,F,15 - 24,8700,
PP,Raw_per_n,2020,T,F,25 - 34,18700,
PP,Raw_per_n,2020,T,F,35 - 44,17600,
PP,Raw_per_n,2020,T,F,45 - 54,13900,
PP,Raw_per_n,2020,T,F,55 - 64,14100,
PP,Raw_per_n,2020,T,F,>= 65,15200,
